# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = eibb_regression_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/bmfazio/git-repos/tesis-pucpstat/tesis-rsrc/endes_dump.R
# init = 2 (Default)
# random
#   seed = 3906157448
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bx.1,bx.2,bx.3,bx.4,bx.5,bx.6,bx.7,bz.1,bz.2,bz.3,bz.4,bz.5,bz.6,bz.7,rho,sigma
# Adaptation terminated
# Step size = 0.231854
# Diagonal elements of inverse mass matrix:
# 0.000334999, 0.000243471, 0.000384148, 0.000636853, 9.5037e-05, 6.08163e-05, 0.00015092, 0.000109505, 6.97973e-05, 0.000107839, 0.000185078, 3.26917e-05, 2.07949e-05, 4.1005e-05, 0.00455467, 6.93995e-05
-57229.3,0.708188,0.231854,4,15,0,57235.1,-0.828863,0.0735745,-0.0303821,0.00431579,0.0190109,-0.0476895,0.171725,0.364198,0.0676209,-0.0593749,-0.037835,0.0174529,-0.0362578,0.129048,0.043411,0.525178
-57222.1,0.906735,0.231854,4,15,0,57237,-0.819493,0.0916954,-0.0829036,-0.0262805,0.00578131,-0.0541547,0.180971,0.368301,0.0825477,-0.0587807,-0.0702954,0.0229937,-0.0366926,0.128568,0.0462959,0.52843
-57224.1,0.903659,0.231854,4,15,0,57229.2,-0.81361,0.0792044,-0.0858446,-0.0615713,0.0195846,-0.0416545,0.161126,0.369522,0.0755923,-0.055582,-0.049304,0.0176122,-0.0379767,0.128747,0.043599,0.521731
-57225.6,0.930644,0.231854,4,15,0,57230.5,-0.81554,0.0903831,-0.102194,-0.0693594,0.0202702,-0.0418092,0.160654,0.362238,0.0756733,-0.0576615,-0.0594609,0.0166841,-0.0380218,0.130101,0.0438795,0.523938
-57225.5,0.964495,0.231854,4,31,0,57231,-0.855103,0.0622797,-0.0259276,0.0102229,-0.0102115,-0.0381995,0.188686,0.341999,0.0930989,-0.0462099,-0.030293,0.0298534,-0.0414618,0.133363,0.0457917,0.523821
-57221.3,0.998607,0.231854,4,15,0,57228.8,-0.855994,0.0941286,-0.080228,-0.00699919,0.000825829,-0.0383946,0.187871,0.359901,0.0804641,-0.0518589,-0.0555583,0.0166009,-0.0377812,0.134189,0.0456555,0.523296
-57222.3,0.984622,0.231854,4,15,0,57229.2,-0.842539,0.0764139,-0.0211304,-0.00291122,0.0189398,-0.058138,0.178964,0.353441,0.0929626,-0.0495082,-0.0461633,0.0211984,-0.0350084,0.135649,0.0473625,0.521252
-57226,0.612183,0.231854,4,15,0,57231.5,-0.850265,0.0738877,-0.0187327,-0.00450064,0.0218493,-0.0611317,0.180594,0.348103,0.0905211,-0.0525756,-0.0447612,0.0215609,-0.0348027,0.135192,0.0476754,0.521514
-57222.4,0.98062,0.231854,4,15,0,57233.1,-0.861101,0.0996476,-0.0850736,-0.0198168,-0.0100551,-0.0271883,0.185492,0.362937,0.0733852,-0.0510814,-0.0421501,0.0232489,-0.0401957,0.132132,0.044943,0.522398
-57222.1,0.893383,0.231854,4,15,0,57232.1,-0.838942,0.0904851,-0.03752,-0.0341625,0.00328595,-0.0432802,0.165123,0.354956,0.0906553,-0.0511683,-0.0408084,0.0269133,-0.0415836,0.136688,0.0414926,0.532136
-57223.3,0.94202,0.231854,4,31,0,57230.4,-0.863215,0.0888644,-0.0847574,0.00915155,0.00296313,-0.0384634,0.188092,0.371042,0.0750411,-0.0516702,-0.0634061,0.0180708,-0.0375219,0.129727,0.0471452,0.517862
-57220.7,0.932669,0.231854,3,7,0,57228.5,-0.843996,0.0951629,-0.0583792,0.00736735,0.00239832,-0.0430832,0.195188,0.364707,0.0769964,-0.0487891,-0.0609872,0.0235174,-0.0362217,0.127473,0.0472115,0.522935
-57226.6,0.937899,0.231854,3,15,0,57230.5,-0.873981,0.0900952,-0.0576025,0.0254996,0.0188103,-0.0388723,0.189433,0.370173,0.0941301,-0.0619028,-0.0535662,0.0187779,-0.0428106,0.132907,0.0464971,0.51967
-57224,0.982121,0.231854,4,15,0,57235.3,-0.847287,0.0746531,-0.0546897,-0.0122225,-0.0150888,-0.0364155,0.195838,0.365093,0.075176,-0.0485301,-0.045508,0.0246167,-0.0362903,0.13068,0.0524936,0.52337
-57224.4,0.937788,0.231854,4,15,0,57230,-0.856531,0.071266,-0.0308288,0.0353865,0.00777721,-0.0371089,0.19305,0.366517,0.0912384,-0.0541628,-0.0537571,0.0301555,-0.0442037,0.133031,0.0440194,0.518151
-57223.7,0.799378,0.231854,4,15,0,57230.2,-0.866575,0.0685324,-0.0276632,0.0352457,0.00642578,-0.0381453,0.194392,0.363287,0.0891646,-0.0552785,-0.0549809,0.0295939,-0.045407,0.131525,0.0433348,0.519209
-57219.9,0.975185,0.231854,4,15,0,57227.5,-0.857843,0.0688557,-0.0518487,0.0322113,-0.0056311,-0.0311418,0.195877,0.362626,0.0893494,-0.0536039,-0.0597597,0.0270227,-0.0409699,0.13044,0.04509,0.523382
